"","school_ID","stud_ID","grade","gender","immig","video_games","internet_quality","internet_availability","SCHRISK","BULLIED","BELONG","COOPAGR","TEACHSUP","FAMSUP","PERSEVAGR","ASSERAGR","EMPATAGR","EMOCOAGR","STRESAGR","CURIOAGR","math_time","study_time","MISCED","FISCED","HISCED","ESCS","PV1MATH","PV2MATH","PV3MATH","PV4MATH","PV5MATH","PV6MATH","PV7MATH","PV8MATH","PV9MATH","PV10MATH","mate","mate9","mate3"
"49","38000064","38000081",10,1,0,3,-1.9734,6,-0.4624,0.5381,-0.3868,-0.7337,1.5558,-0.1504,2.6415,2.071,-0.9817,-2.8087,-1.638,2.8479,5,6,3,6,6,-0.1786,370.39,358.57,387.476,417.054,323.231,417.475,402.887,396.672,399.115,455.037,392.7907,"1a","low"
"50","38000002","38000082",10,1,0,NA,NA,NA,-0.4624,-1.228,-0.3014,0.0554,1.5558,NA,-2.5436,-0.1784,-0.6694,-1.2729,-1.8707,-1.4039,1,1,1,3,3,-2.141,266.726,279.993,310.214,299.42,333.481,290.623,316.547,243.695,288.37,249.336,287.8405,"1c","low"
"51","38000005","38000084",10,1,0,1,-0.5752,6,1.793,0.524,-0.0536,2.0941,1.5558,-0.5564,0.341,0.2051,2.8689,-0.5482,-1.004,-0.4927,1,2,3,4,4,-0.0557,488.269,487.588,508.443,500.246,504.067,442.255,511.193,504.35,505.41,471.724,492.3545,"3","medium"
"52","38000149","38000085",10,0,0,4,-0.2001,6,-0.4624,-1.228,0.2442,-0.0327,-0.1002,0.4955,0.5704,-0.8033,0.093,0.2987,-0.3209,-0.081,3,4,9,7,9,0.6166,478.179,507.937,488.301,455.131,476.548,524.82,485.53,492.939,503.132,460.049,487.2566,"3","medium"
"53","38000318","38000086",10,1,0,4,-0.4775,6,-0.4624,-1.228,0.3379,1.0463,0.8211,1.4693,0.8979,0.2443,0.3731,1.3464,1.0001,0.4227,2,2,9,5,9,0.6648,496.298,530.102,518.251,499.13,520.85,503.388,535.538,455.302,537.388,531.206,512.7453,"3","medium"
"54","38000254","38000087",10,0,NA,1,NA,3,-0.4624,0.0959,-0.8829,-1.3378,0.1475,-1.005,-1.2446,0.5675,-1.3838,-2.1666,-1.0802,-0.2783,3,6,7,5,7,0.0034,297.734,314.914,303.601,278.541,341.444,283.938,350.674,299.097,318.227,308.494,309.6664,"1b","low"
"55","38000126","38000088",10,1,0,2,-0.8314,6,-0.4624,-1.228,1.4683,2.2437,-1.3627,0.1028,-0.7965,0.5475,1.1936,-0.3496,-1.8426,-0.2942,3,2,9,7,9,0.6936,429.976,418.62,414.989,429.021,437.41,431.725,452.692,455.432,429.875,420.549,432.0289,"2","low"
"56","38000001","38000091",10,0,0,4,-0.5953,6,-0.4624,-1.228,0.4087,-1.2017,1.5558,0.0163,-0.3469,0.1995,-1.9105,-0.799,0.6042,-1.4924,1,1,5,3,5,-0.7087,535.431,569.503,548.723,549.472,559.562,526.942,516.927,524.722,552.092,542.694,542.6068,"3","medium"
"57","38000243","38000093",10,0,0,6,1.1711,5,-0.4624,-1.228,0.5094,0.5914,1.5558,1.7613,NA,-3.5697,0.6628,5.5245,1.2235,NA,1,2,5,5,5,-1.2638,357.093,320.603,408.535,376.901,375.47,417.97,426.606,405.633,341.826,429.353,385.999,"1a","low"
"58","38000130","38000095",10,1,0,4,-1.1415,6,0.4017,-0.391,2.4581,0.7647,-1.0693,-0.8192,-0.8315,0.754,1.7299,-3.5845,-0.0173,-1.2527,1,1,9,8,9,0.543,480.888,432.185,435.638,383.569,421.47,397.088,422.953,418.956,402.324,437.696,423.2767,"2","low"
"59","38000250","38000097",10,1,0,3,0.0262,6,-0.4624,-1.228,-0.6351,0.7634,-0.1002,-0.2095,0.3876,-0.3663,0.8588,-0.1119,0.5629,2.7075,1,3,10,7,10,1.4642,422.663,433.418,416.873,411.931,448.51,442.595,393.35,435.676,465.803,489.614,436.0433,"2","low"
"60","38000288","38000098",10,0,0,4,0.3623,6,3.0521,0.2275,1.0833,-0.8154,-1.0693,0.1838,2.3532,-0.0935,-0.8545,-0.0334,0.2165,-1.4649,1,1,3,NA,3,-2.4065,418.339,424.022,406.546,411.196,338.592,399.883,449.165,371.993,381.382,377.486,397.8604,"1a","low"
"61","38000213","38000100",9,1,0,5,-0.1735,6,1.4434,1.5299,-0.7388,0.8354,1.5558,-1.2312,-1.0788,0.3852,1.4983,-1.1437,-1.0211,1.9186,1,4,3,3,3,-1.6237,401.687,380.294,390.741,382.972,346.312,395.335,366.133,402.858,357.144,376.024,379.95,"1a","low"
"62","38000091","38000101",10,0,0,4,0.3623,6,0.8125,0.5869,-0.4375,-0.8154,-1.7015,-0.2985,-0.3862,0.0767,-0.9488,0.1228,0.0519,-0.1768,2,3,10,10,10,1.0934,456.383,506.626,427.755,438.264,412.367,427.957,440.569,438.11,428.909,426.648,440.3588,"2","low"
"63","38000088","38000102",10,1,0,4,NA,1,-0.4624,-1.228,1.4872,-0.4734,-1.3627,NA,0.0893,-0.655,-0.8667,-0.0529,-1.1941,0.1957,5,5,10,10,10,0.5809,390.501,384.622,397.779,392.826,409.335,443.024,356.009,376.869,384.745,388.369,392.4079,"1a","low"
"64","38000246","38000106",10,0,0,3,0.0498,5,0.8125,0.2988,-0.7686,-0.9815,-1.0693,0.0363,-0.6956,0.0459,-0.4534,-0.4926,-0.3248,-0.1298,3,5,7,7,7,1.115,551.866,577.804,538.849,609.601,580.773,537.422,564.197,594.69,597.973,597.757,575.0932,"4","medium"
"65","38000052","38000108",10,1,0,2,0.3623,6,-0.4624,-0.4588,1.1073,-0.1803,0.8211,-0.2481,-0.1833,1.6886,-0.3936,-3.5845,-0.049,0.3223,1,3,9,3,9,-0.0581,453.656,424.92,470.999,449.573,423.458,420.97,448.719,446.508,454.927,425.107,441.8837,"2","low"
"66","38000286","38000109",10,0,0,3,0.3623,6,-0.4624,-1.228,0.2003,0.1691,-0.3322,0.4846,0.546,7e-04,-0.0408,0.2131,0.2429,-0.2451,1,1,5,3,5,-0.7776,605.809,523.072,534.491,510.263,587.921,482.288,517.182,534.474,569.076,571.157,543.5733,"3","medium"
"67","38000120","38000115",10,0,0,5,-0.3152,6,-0.4624,0.2121,-0.767,-1.3523,-0.8059,-1.1672,-0.3264,-0.5441,-0.6953,0.5534,0.4313,-0.0443,2,3,9,10,10,0.7741,556.927,591.645,523.515,597.838,548.883,602.88,621.201,546.56,586.947,549.674,572.607,"4","medium"
"68","38000221","38000116",10,0,0,5,-0.2153,6,0.8125,-1.228,-0.7209,0.1975,0.1475,0.1282,-0.2698,-0.8782,1.0668,0.6449,2.9337,1.5339,4,5,8,3,8,0.4322,509.512,529.905,510.574,527.113,560.581,524.012,523.657,539.153,514.479,498.89,523.7876,"3","medium"
"69","38000233","38000118",10,0,0,5,-1.1456,6,0.8125,-1.228,0.167,-0.8635,-0.5635,-0.4017,-0.6801,0.2115,-0.1884,1.0255,1.2239,0.283,3,1,9,8,9,0.8702,568.239,554.917,572.101,538.965,529.082,586.33,599.135,572.614,563.979,541.272,562.6634,"4","medium"
"70","38000271","38000119",10,0,0,5,0.1465,6,-0.4624,-1.228,0.5644,2.2369,0.8211,-1.5823,-0.5737,-0.015,-0.0024,0.241,1.221,-0.2916,2,3,7,9,9,0.0447,556.374,538.061,509.157,553.583,537.627,520.329,500.004,533.402,500.29,534.029,528.2856,"3","medium"
"71","38000150","38000120",10,1,0,4,1.0838,6,0.4017,-1.228,0.615,-0.6119,0.8211,0.3238,-0.5969,0.5109,-0.0172,0.9165,0.1118,0.8746,3,4,10,10,10,1.1193,647.409,662.216,716.604,656.565,701.914,688.076,690.532,685.782,673.457,699.21,682.1765,"6","high"
"72","38000168","38000121",10,1,1,NA,NA,NA,-0.4624,-1.228,0.1436,-0.087,-0.8059,-0.0142,-0.5049,0.2078,1.1875,-1.175,-0.2975,0.7752,2,5,2,3,3,-1.8302,448.903,419.324,436.935,409.974,423.821,419.993,495.268,444.395,416.293,444.439,435.9345,"2","low"
"73","38000168","38000123",10,1,1,1,0.3623,6,-0.4624,-0.267,-0.8108,0.8057,-0.8059,-0.3818,-0.0413,-1.0192,-0.1588,-0.1018,-0.5002,-0.8869,1,3,3,3,3,-1.9867,364.763,320.013,317.583,274.513,333.631,356.115,352.936,342.247,289.242,311.947,326.299,"1b","low"
"74","38000014","38000124",10,0,1,4,-0.2212,5,0.4017,0.5547,-0.338,0.9924,-1.0693,0.7369,-0.6858,-0.0188,1.3487,0.5279,1.0582,0.1162,3,4,3,3,3,-1.3019,408.984,455.779,494.814,444.909,460.057,412.251,436.438,476.961,437.368,455.337,448.2898,"2","low"
"75","38000002","38000126",10,1,0,1,0.3623,6,-0.4624,-1.228,0.032,1.0823,NA,-1.0747,0.7097,NA,NA,NA,NA,NA,3,4,3,1,3,-2.6555,356.384,363.609,340.704,328.4,299.904,287.736,311.74,333.392,336.025,282.442,324.0336,"1b","low"
"76","38000307","38000127",9,1,0,3,-0.2686,6,-0.4624,-1.228,-0.3128,-0.5148,0.8211,NA,-0.048,-0.9046,-0.0038,0.4741,0.5908,-0.9016,2,6,8,8,8,-0.2183,463.469,477.859,466.12,441.434,474.622,462.626,411.037,447.15,489.458,427.591,456.1366,"2","low"
"77","38000229","38000129",10,1,0,4,1.0352,6,0.4017,-0.0351,-0.7169,-1.3533,0.8211,-1.6077,0.2909,-2.9201,1.1921,-1.3809,0.2138,0.1829,3,6,3,3,3,-1.5449,543.176,497.407,535.116,520.766,508.98,535.179,509.383,504.021,544.068,484.476,518.2572,"3","medium"
